id,color_side,color_top,WKT,lon,lat
282868862,灰色,灰色,"MultiPolygon (((24.92405004 60.19014887, 24.92406645 60.1901674, 24.92402186 60.19017716, 24.92405701 60.19018601, 24.9240249 60.19021751, 24.92406325 60.19021673, 24.92404854 60.19023116, 24.92400931 60.19022128, 24.92399742 60.19023295, 24.92432363 60.19031512, 24.92421583 60.19033871, 24.92421739 60.1903577, 24.92401133 60.19030579, 24.92410207 60.19030395, 24.92413677 60.19026991, 24.92393961 60.19027391, 24.92393261 60.19018864, 24.92389367 60.19022684, 24.92383055 60.19022812, 24.92379445 60.19018735, 24.92376916 60.19021216, 24.92374183 60.19018129, 24.92376818 60.19018076, 24.92375364 60.19016434, 24.92368129 60.19016581, 24.92367835 60.19012991, 24.92371274 60.19013857, 24.92373048 60.19012117, 24.92375796 60.19015221, 24.92375504 60.1901166, 24.92380323 60.19012874, 24.92383733 60.19009528, 24.92405004 60.19014887)))",24.92396755394515,60.19021141552974
280234536,深灰色,浅灰色,"MultiPolygon (((24.911183 60.18744135, 24.9110625 60.18732297, 24.91115005 60.18730094, 24.91118518 60.18733546, 24.91119272 60.18733356, 24.91127808 60.18741743, 24.911183 60.18744135)))",24.911170265321633,60.18737145005635
282018300,深棕色,深绿色,"MultiPolygon (((24.91133671 60.18694261, 24.91135198 60.18695134, 24.91127646 60.18698399, 24.91118682 60.18693274, 24.91128525 60.18689019, 24.91135962 60.18693271, 24.91133671 60.18694261)))",24.911277760072466,60.18693688584805
282738891,灰色,灰色,"MultiPolygon (((24.91415829 60.18668588, 24.91431432 60.18645602, 24.91451177 60.18648915, 24.91442157 60.18662204, 24.91442879 60.18662325, 24.91440279 60.18666156, 24.91434018 60.18665105, 24.91430036 60.18670971, 24.91415829 60.18668588)))",24.9143345451538,60.18658039760065
577677588,灰色,深灰色,"Polygon ((24.90923277 60.19390443, 24.90930796 60.19395405, 24.90945758 60.19389815, 24.90938239 60.19384844, 24.90923277 60.19390443))",24.909345185783746,60.19390125969874
281036944,白色,灰色,"MultiPolygon (((24.91496207 60.1768342, 24.91531383 60.17687837, 24.91528073 60.17694358, 24.91492897 60.17689941, 24.91496207 60.1768342)))",24.9151214,60.17688889000001
279874598,深蓝,灰白,"MultiPolygon (((24.90695893 60.16540624, 24.90703974 60.16544912, 24.90700471 60.16546546, 24.90708985 60.16551064, 24.90704064 60.16553359, 24.90684526 60.1654299, 24.90688018 60.16541361, 24.90690962 60.16542923, 24.90695893 60.16540624)))",24.906973202083762,60.16546399159985
280644175,灰色,灰色,"MultiPolygon (((24.91943714 60.15244206, 24.91931563 60.15244312, 24.91927079 60.15239124, 24.9192717 60.15241712, 24.91911272 60.15223318, 24.91925551 60.15223194, 24.91943714 60.15244206)))",24.919274536015333,60.152335191917054
282643866,灰色,白色,"MultiPolygon (((24.91779796 60.15086396, 24.91787453 60.15088281, 24.91884801 60.1518562, 24.91883727 60.15185886, 24.91897369 60.15199527, 24.91894326 60.15202589, 24.91891723 60.15202779, 24.91893153 60.1520134, 24.91888024 60.15201714, 24.91890462 60.15204152, 24.91885212 60.15204535, 24.91835447 60.15154776, 24.91829043 60.151532, 24.91827622 60.15151779, 24.91823195 60.15152876, 24.91815236 60.15144917, 24.91827616 60.1514185, 24.91812375 60.15126611, 24.91815907 60.15123056, 24.91813575 60.15120724, 24.91809334 60.15121034, 24.91798877 60.1511846, 24.91799484 60.15118416, 24.91800608 60.15117284, 24.91797698 60.15116568, 24.91797257 60.15115073, 24.91791507 60.15113658, 24.91782991 60.1511428, 24.91774936 60.15106225, 24.91786022 60.15103478, 24.91774385 60.15091843, 24.91779796 60.15086396)))",24.918340412082454,60.15145086261982
280908590,白色,灰色,"MultiPolygon (((24.91425738 60.14998436, 24.91416534 60.15000604, 24.91405542 60.14989042, 24.91414746 60.14986874, 24.91425738 60.14998436)))",24.9141564,60.14993739
281171953,深蓝色,深蓝色,"MultiPolygon (((24.92893451 60.18460852, 24.92885653 60.18484677, 24.92881374 60.1848433, 24.92877379 60.18496543, 24.92859707 60.18495113, 24.92858872 60.18497663, 24.92841626 60.18496269, 24.92844587 60.18487222, 24.92838577 60.18486736, 24.928485 60.18456416, 24.92857907 60.18457177, 24.92859167 60.18453328, 24.9287589 60.18454681, 24.92874375 60.18459309, 24.92893451 60.18460852)))",24.928646591197463,60.18475750119506
282616097,灰色,绿色,"MultiPolygon (((24.92194359 60.18210319, 24.92222492 60.18183191, 24.92230233 60.18185176, 24.92238429 60.18177275, 24.92249756 60.18180179, 24.92251012 60.18178968, 24.92259911 60.1818125, 24.92252973 60.1818794, 24.92257423 60.18189081, 24.92248026 60.18198141, 24.92249721 60.18198576, 24.92233769 60.18213958, 24.92226989 60.18212219, 24.92221691 60.18217328, 24.92194359 60.18210319)))",24.922285678733886,60.18197788379754
280644076,蓝色,白色,"MultiPolygon (((24.91650063 60.18030891, 24.9164593 60.18030231, 24.91649474 60.18024746, 24.91647286 60.18024396, 24.91649005 60.18021737, 24.91661496 60.18023733, 24.91655482 60.18033042, 24.91649311 60.18032056, 24.91650063 60.18030891)))",24.916533748806376,60.18027127074481
282239550,灰色,灰色,"MultiPolygon (((24.91812675 60.17520352, 24.91799563 60.17547126, 24.91784518 60.17545303, 24.91797634 60.17518529, 24.91812675 60.17520352)))",24.917985972042683,60.175328280574384
282143915,灰色,浅灰色,"MultiPolygon (((24.93578259 60.17288105, 24.93583443 60.17290239, 24.93582199 60.17290986, 24.93590477 60.17294394, 24.93583025 60.17298872, 24.93581501 60.17298244, 24.93575572 60.17301807, 24.93573026 60.17300758, 24.93569542 60.17302852, 24.9357027 60.17303151, 24.93565791 60.17305843, 24.93559901 60.17303419, 24.935622 60.17302038, 24.9355797 60.17300296, 24.93578259 60.17288105)))",24.93573783442769,60.17296876076853
280628304,灰色,灰色,"MultiPolygon (((24.93290449 60.17414526, 24.93280848 60.17423903, 24.93252946 60.17416837, 24.93254955 60.17414875, 24.93247501 60.17412987, 24.93255093 60.17405571, 24.93290449 60.17414526)))",24.932687892160995,60.174147291585435
281301240,深蓝,浅灰,"MultiPolygon (((24.91905937 60.16906848, 24.9188607 60.16907955, 24.91886129 60.16908218, 24.91879075 60.16908611, 24.91876878 60.1689886, 24.91882874 60.16898526, 24.91883408 60.16900898, 24.91890031 60.16900529, 24.91889378 60.1689763, 24.91887524 60.16897734, 24.91887019 60.16895494, 24.91891089 60.16895267, 24.91890614 60.16893158, 24.91896177 60.16892849, 24.91899056 60.1690563, 24.91905581 60.16905267, 24.91905937 60.16906848)))",24.918896183947094,60.16902271857644
281651131,灰色,灰色,"MultiPolygon (((24.8980301 60.16588324, 24.89807475 60.165898, 24.8980926 60.16588464, 24.89812981 60.16589694, 24.89811126 60.16591082, 24.89809357 60.16590497, 24.89803121 60.16595166, 24.89796981 60.16593136, 24.89792955 60.1659615, 24.89786351 60.16593967, 24.89798786 60.16584659, 24.89805112 60.1658675, 24.8980301 60.16588324)))",24.897988322343917,60.16590805983196
